[ 2025-02-15 13:08:30,784 ] 17 root - INFO - Initiate the data ingestion
[ 2025-02-15 13:08:33,709 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-02-15 13:08:33,709 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-02-15 13:08:33,709 ] 75 root - INFO - Exporting train and test file path.
[ 2025-02-15 13:08:33,747 ] 84 root - INFO - Exported train and test file path.
[ 2025-02-15 13:08:33,747 ] 19 root - INFO - Data Initiation Completed
[ 2025-02-15 13:08:33,747 ] 23 root - INFO - Initiate the data Validation
[ 2025-02-15 13:08:33,799 ] 32 root - INFO - Required number of columns:2
[ 2025-02-15 13:08:33,799 ] 33 root - INFO - Data frame has columns:31
[ 2025-02-15 13:08:33,799 ] 32 root - INFO - Required number of columns:2
[ 2025-02-15 13:08:33,799 ] 33 root - INFO - Data frame has columns:31
[ 2025-02-15 13:08:33,894 ] 25 root - INFO - data Validation Completed
[ 2025-02-15 13:08:33,894 ] 28 root - INFO - data Transformation started
[ 2025-02-15 13:08:33,894 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-02-15 13:08:33,894 ] 65 root - INFO - Starting data transformation
[ 2025-02-15 13:08:33,914 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-02-15 13:08:33,914 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-02-15 13:08:33,922 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-15 13:08:33,924 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-15 13:08:33,924 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-15 13:08:33,926 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-15 13:08:33,926 ] 32 root - INFO - data Transformation completed
[ 2025-02-15 13:08:33,927 ] 34 root - INFO - Model Training sstared
