[ 2025-02-15 13:09:01,013 ] 17 root - INFO - Initiate the data ingestion
[ 2025-02-15 13:09:03,220 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-02-15 13:09:03,220 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-02-15 13:09:03,220 ] 75 root - INFO - Exporting train and test file path.
[ 2025-02-15 13:09:03,258 ] 84 root - INFO - Exported train and test file path.
[ 2025-02-15 13:09:03,258 ] 19 root - INFO - Data Initiation Completed
[ 2025-02-15 13:09:03,267 ] 23 root - INFO - Initiate the data Validation
[ 2025-02-15 13:09:03,323 ] 32 root - INFO - Required number of columns:2
[ 2025-02-15 13:09:03,323 ] 33 root - INFO - Data frame has columns:31
[ 2025-02-15 13:09:03,328 ] 32 root - INFO - Required number of columns:2
[ 2025-02-15 13:09:03,328 ] 33 root - INFO - Data frame has columns:31
[ 2025-02-15 13:09:03,411 ] 25 root - INFO - data Validation Completed
[ 2025-02-15 13:09:03,411 ] 28 root - INFO - data Transformation started
[ 2025-02-15 13:09:03,411 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-02-15 13:09:03,411 ] 65 root - INFO - Starting data transformation
[ 2025-02-15 13:09:03,433 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-02-15 13:09:03,433 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-02-15 13:09:03,441 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-15 13:09:03,443 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-15 13:09:03,443 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-15 13:09:03,445 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-15 13:09:03,445 ] 32 root - INFO - data Transformation completed
[ 2025-02-15 13:09:03,445 ] 34 root - INFO - Model Training sstared
[ 2025-02-15 13:11:38,681 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-15 13:11:38,681 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-15 13:11:38,681 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-15 13:11:38,726 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-15 13:11:38,726 ] 127 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\02_15_2025_13_08_59\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9916953615556006, precision_score=0.9888911331044233, recall_score=0.9945155393053017), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9738640932850824, precision_score=0.9664804469273743, recall_score=0.9813614262560778))
[ 2025-02-15 13:11:38,726 ] 39 root - INFO - Model Training artifact created
