[ 2025-01-22 18:06:43,510 ] 17 root - INFO - Initiate the data ingestion
[ 2025-01-22 18:06:46,758 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-01-22 18:06:46,758 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-01-22 18:06:46,758 ] 75 root - INFO - Exporting train and test file path.
[ 2025-01-22 18:06:46,794 ] 84 root - INFO - Exported train and test file path.
[ 2025-01-22 18:06:46,794 ] 19 root - INFO - Data Initiation Completed
[ 2025-01-22 18:06:46,799 ] 23 root - INFO - Initiate the data Validation
[ 2025-01-22 18:06:46,855 ] 32 root - INFO - Required number of columns:2
[ 2025-01-22 18:06:46,855 ] 33 root - INFO - Data frame has columns:31
[ 2025-01-22 18:06:46,855 ] 32 root - INFO - Required number of columns:2
[ 2025-01-22 18:06:46,858 ] 33 root - INFO - Data frame has columns:31
[ 2025-01-22 18:06:46,954 ] 25 root - INFO - data Validation Completed
[ 2025-01-22 18:06:46,954 ] 28 root - INFO - data Transformation started
[ 2025-01-22 18:06:46,954 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-01-22 18:06:46,954 ] 65 root - INFO - Starting data transformation
[ 2025-01-22 18:06:46,954 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-01-22 18:06:46,954 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-01-22 18:06:46,977 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-01-22 18:06:46,980 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2025-01-22 18:06:46,980 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-01-22 18:06:46,982 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2025-01-22 18:06:46,983 ] 32 root - INFO - data Transformation completed
[ 2025-01-22 18:06:46,983 ] 34 root - INFO - Model Training sstared
[ 2025-01-22 18:08:58,366 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-01-22 18:08:58,366 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2025-01-22 18:08:58,366 ] 126 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\01_22_2025_18_06_41\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9911200807265389, precision_score=0.9873341375150784, recall_score=0.994935170178282), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9732360097323601, precision_score=0.963855421686747, recall_score=0.9828009828009828))
[ 2025-01-22 18:08:58,366 ] 39 root - INFO - Model Training artifact created
