[ 2025-02-15 13:14:13,963 ] 17 root - INFO - Initiate the data ingestion
[ 2025-02-15 13:14:16,788 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-02-15 13:14:16,788 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-02-15 13:14:16,788 ] 75 root - INFO - Exporting train and test file path.
[ 2025-02-15 13:14:16,820 ] 84 root - INFO - Exported train and test file path.
[ 2025-02-15 13:14:16,820 ] 19 root - INFO - Data Initiation Completed
[ 2025-02-15 13:14:16,836 ] 23 root - INFO - Initiate the data Validation
[ 2025-02-15 13:14:16,883 ] 32 root - INFO - Required number of columns:2
[ 2025-02-15 13:14:16,883 ] 33 root - INFO - Data frame has columns:31
[ 2025-02-15 13:14:16,883 ] 32 root - INFO - Required number of columns:2
[ 2025-02-15 13:14:16,883 ] 33 root - INFO - Data frame has columns:31
[ 2025-02-15 13:14:16,971 ] 25 root - INFO - data Validation Completed
[ 2025-02-15 13:14:16,971 ] 28 root - INFO - data Transformation started
[ 2025-02-15 13:14:16,971 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-02-15 13:14:16,971 ] 65 root - INFO - Starting data transformation
[ 2025-02-15 13:14:16,989 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-02-15 13:14:16,989 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-02-15 13:14:17,010 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-15 13:14:17,010 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-15 13:14:17,010 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-15 13:14:17,010 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-15 13:14:17,014 ] 32 root - INFO - data Transformation completed
[ 2025-02-15 13:14:17,014 ] 34 root - INFO - Model Training sstared
[ 2025-02-15 13:16:27,705 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-15 13:16:27,705 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-15 13:16:27,705 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-15 13:16:27,715 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-15 13:16:27,715 ] 127 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\02_15_2025_13_14_12\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9911827303131651, precision_score=0.9890776699029126, recall_score=0.9932967702620353), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9743178170144462, precision_score=0.9650238473767886, recall_score=0.9837925445705025))
[ 2025-02-15 13:16:27,716 ] 39 root - INFO - Model Training artifact created
